"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","2","LTC1517CS5-5#TRMPBFCT-ND","LTC1517CS5-5#TRMPBF","IC REG SWTCHD CAP 5V 20MA SOT23","U3","0","4.45000","$8.90"
"2","3","490-6619-1-ND","LQH32CN4R7M33L","FIXED IND 4.7UH 650MA 150 MOHM","L1","0","0.32000","$0.96"
"3","2","LTC3406ES5#TRMPBFCT-ND","LTC3406ES5#TRMPBF","IC REG BUCK ADJ 0.6A SYNC TSOT23","U2","0","4.61000","$9.22"
"4","2","535-10247-1-ND","ABS06-32.768KHZ-9-1-T","CRYSTAL 32.7680KHZ 9PF SMD","Q1","0","1.20000","$2.40"
"5","3","S3404-ND","SPN02SYBN-RC","CONN SHUNT 2MM OPEN TOP 2PS GOLD","FOR X2","0","0.26000","$0.78"
"6","3","CKN10514CT-ND","PTS840 GKP SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 12V","U7","0","0.32000","$0.96"
"7","3","WM7978CT-ND","0527461071","CONN FFC BOTTOM 10POS 0.50MM R/A","X1","0","1.64000","$4.92"
"8","10","490-1320-1-ND","GRM155R60J105KE19D","CAP CER 1UF 6.3V X5R 0402","C1,C9,C15","0","0.03500","$0.35"
"9","6","CKN10503CT-ND","PTS810 SJK 250 SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 16V","U9,U10","0","0.28000","$1.68"
"10","10","311-7.50KLRCT-ND","RC0402FR-077K5L","RES SMD 7.5K OHM 1% 1/16W 0402","R2,R4","0","0.01300","$0.13"
"11","4","S5800-02-ND","NRPN021PAEN-RC","CONN HEADER 2MM SINGLE STR 2POS","X2","0","0.31000","$1.24"
"12","6","1276-2087-1-ND","CL10B475KQ8NQNC","CAP CER 4.7UF 6.3V X7R 0603","C10,C13","0","0.10000","$0.60"
"13","2","ISL9230IRZ-TCT-ND","ISL9230IRZ-T","IC BATT CHRGR LIION 1CELL 16TQFN","U5","0","2.95000","$5.90"
"14","5","240-2390-1-ND","MI0805K601R-10","FERRITE BEAD 600 OHM 0805 1LN","L2","0","0.10000","$0.50"
"15","2","768-1178-1-ND","FT234XD-R","IC USB SERIAL BASIC UART 12DFN","U6","0","2.30000","$4.60"
"16","2","H2959CT-ND","UX60-MB-5ST","CONN RECEPT MINI USB2.0 5POS","USB","0","1.07000","$2.14"
"17","6","478-1078-1-ND","04025A470JAT2A","CAP CER 47PF 50V C0G/NP0 0402","C17,C18","0","0.15000","$0.90"
"18","3","490-7217-1-ND","GRM31CR60J107ME39K","CAP CER 100UF 6.3V X5R 1206","C14","0","0.81000","$2.43"
"19","2","1428-1011-1-ND","MPU-6500","IMU ACCEL/GYRO 3-AXIS I2C 24QFN","U12","0","10.72000","$21.44"
"20","2","1428-1014-1-ND","INMP441ACEZ-R7","MIC MEMS DIGITAL OMNI -26DB","U11","0","3.65000","$7.30"
"21","10","490-4516-1-ND","GRM155R71H103KA88D","CAP CER 10000PF 50V X7R 0402","C8,C16,C22","0","0.01200","$0.12"
"22","1","425-2905-ND","LS013B7DH06","LCD TFT 1.33"" 128X128 FPC","","0","21.85000","$21.85"
"23","10","311-100KLRCT-ND","RC0402FR-07100KL","RES SMD 100K OHM 1% 1/16W 0402","R16","0","0.01300","$0.13"
"24","10","RMCF0402FT40K2CT-ND","RMCF0402FT40K2","RES 40.2K OHM 1% 1/16W 0402","R17","0","0.02500","$0.25"
"25","25","1276-1443-1-ND","CL05A104MP5NNNC","CAP CER 0.1UF 10V X5R 0402","C2,C3,C4,C5,C6,C7,C19,C20,C21","0","0.00800","$0.20"
"26","4","445-7476-1-ND","C1608X5R1C335K080AC","CAP CER 3.3UF 16V X5R 0603","C11","0","0.29000","$1.16"
"27","3","399-3136-1-ND","C0805C685K9PACTU","CAP CER 6.8UF 6.3V X5R 0805","C12","0","0.94000","$2.82"
"28","25","311-10KJRCT-ND","RC0402JR-0710KL","RES SMD 10K OHM 5% 1/16W 0402","R5,R10,R11,R13","0","0.00840","$0.21"
"29","25","311-1.00KLRCT-ND","RC0402FR-071KL","RES SMD 1K OHM 1% 1/16W 0402","R6,R7,R8,R9,R12,R14","0","0.00960","$0.24"
"30","2","706-1406-ND","IS25LP128-JKLE","IC FLASH 128M SPI 133MHZ 8WSON","U4","0","2.32000","$4.64"
"31","2","254SA103B50B-ND","254SA103B50B","JOYSTICK 10K OHM 2 AXIS SMD","U8","0","5.99000","$11.98"
"32","10","311-14.0KLRCT-ND","RC0402FR-0714KL","RES SMD 14K OHM 1% 1/16W 0402","R1,R3","0","0.01300","$0.13"
"33","10","RMCF0402FT4K22CT-ND","RMCF0402FT4K22","RES 4.22K OHM 1% 1/16W 0402","R15","0","0.02500","$0.25"
"34","5","455-1719-ND","S2B-PH-K-S(LF)(SN)","CONN HEADER PH SIDE 2POS 2MM","X3","0","0.17000","$0.85"
"","","","","","","","Subtotal","$122.18"
