Screaming Circuits SMD component position file.

Centroid Data for pc board: "watch.brd" as of: 1/13/2016 9:04 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.629,0.207,180
C2,Bottom,0.073,1.376,0
C3,Bottom,0.573,1.140,0
C4,Bottom,0.573,1.331,0
C5,Bottom,0.736,0.161,0
C6,Bottom,0.469,0.715,90
C7,Bottom,0.469,0.852,270
C8,Bottom,1.085,0.421,0
C9,Top,0.531,1.726,90
C10,Bottom,0.909,1.327,90
C11,Bottom,0.549,0.957,0
C12,Bottom,0.591,0.748,0
C13,Bottom,0.984,0.906,90
C14,Bottom,0.969,1.512,270
C15,Bottom,1.063,1.043,180
C16,Bottom,0.846,0.350,0
C17,Bottom,0.917,0.559,180
C18,Bottom,0.807,0.559,0
C19,Bottom,0.413,1.433,270
C20,Top,0.114,0.610,0
C21,Top,0.195,0.636,270
C22,Top,0.114,0.667,0
L1,Bottom,0.850,1.551,0
L2,Bottom,1.026,0.518,90
Q1,Bottom,0.531,1.435,90
R1,Bottom,0.368,0.148,180
R2,Top,0.618,0.348,0
R3,Bottom,0.287,0.421,180
R4,Bottom,0.319,0.577,90
R5,Top,0.915,1.693,180
R6,Top,1.130,0.423,270
R7,Top,0.589,0.696,270
R8,Top,0.621,0.789,270
R9,Top,0.669,0.789,270
R10,Bottom,0.951,1.199,270
R11,Bottom,0.866,0.906,180
R12,Top,0.876,1.219,180
R13,Bottom,0.787,0.967,270
R14,Top,0.805,1.171,0
R15,Bottom,0.902,1.199,270
R16,Top,0.577,1.002,270
R17,Top,0.624,1.002,90
R18,Bottom,0.833,0.636,270
R19,Bottom,0.892,0.636,90
U1,Top,0.413,1.260,0
U2,Bottom,0.812,1.396,180
U3,Bottom,0.571,0.852,270
U4,Top,0.354,1.673,180
U5,Bottom,0.906,1.043,0
U6,Bottom,0.846,0.787,180
U7,Bottom,1.093,0.866,270
U8,Top,0.238,0.242,180
U9,Top,1.024,0.138,90
U10,Top,0.758,0.138,90
U11,Bottom,0.551,0.157,0
U12,Top,0.128,0.829,0
X1,Bottom,0.591,0.433,0
X4,Bottom,0.945,0.177,90
